last_name,first_name,middle_name,phone_number,applicant_id,amount_of_attempts
Ivanov,Andriy,Petrovich,+380686750607,40F9ZS4KTI,0
Petrova,Olena,Mykhailivna,+380664298642,1Q6LHSY9F6,0
Kozlov,Serhiy,Oleksandrovich,+380638543886,U5ZIIHI9Q4,0
Shevchenko,Kateryna,Mykolaivna,+380991606774,MKH7KZICVW,0
Lysenko,Mykola,Dmytrovych,+380663775943,ZY099QM7M6,0
Tkachenko,Iryna,Yuriivna,+380676298248,BGAVV8CV5Z,0
Hrytsenko,Nataliia,Pavlivna,+380990992107,9TZ364BR9I,0
Sydorenko,Vadym,Ivanovych,+380682389433,0887FFI23N,0
Romanchuk,Oksana,Dmytrivna,+380666507549,9659RIK4BZ,0
Hrynevych,Valentyn,Yevhenovych,+380987674502,OE4BTKOAZ5,0
Ivanova,Nataliia,Olehivna,+380505968805,4RURLOCH7Z,0
Zaharchenko,Dmitro,Igorevich,+380931586207,JBCFPPE6NC,0
Pavlova,Anna,Yaroslavivna,+380663334453,5RMO8V698L,0
Shevchenko,Dmytro,Oleksandrovych,+380973439606,5VE53ITSYC,0
Hryhorova,Iryna,Yuriivna,+380965770884,0PT4XWXPJD,0
Ivanchenko,Andriy,Olehovych,+380680991414,QUC606TU5L,0
Kovalenko,Viktor,Viktorovych,+380665055007,P0S261EE9G,0
Hrytsenko,Daria,Mykolaivna,+380503712606,20ZFS6U0D2,0
Morozova,Olga,Ivanivna,+380676217585,DPYQTXUXRP,0
Sydorenko,Ivan,Pavlovych,+380946004293,MHBABTA572,0
Romanchuk,Yaroslav,Sergiyovych,+380662401819,ZF8HBA2A8J,0
Hrynevych,Nadiia,Valentynivna,+380930401438,9B4VQ2VTKQ,0
Koval,Oleksii,Anatoliiovych,+380680312557,7ELHYTSV0U,0
Ivanchenko,Inna,Vitaliivna,+380948701414,UOGJRBG8I6,0
Zakharov,Pavlo,Dmytrovych,+380638386733,41Y1IH4TGS,0
Romanchuk,Katerina,Olehivna,+380686620221,9IK0TGZ0IA,0
Hryhorenko,Viktor,Ivanovych,+380632274751,DB327YK0SV,0
Ivanova,Olga,Igorevna,+380926458499,6RK3SIJO49,0
Zakharova,Svitlana,Yaroslavivna,+380926717598,KYHJVSW3Y3,0
Pavlov,Andriy,Oleksandrovych,+380673122806,HT5N5A6V2F,0
Hryhorov,Yevhen,Petrovych,+380966171352,QEHCKGK33E,0
Ivanchuk,Kateryna,Mykolaivna,+380934479359,WMOSRLJY9H,0
Kozachenko,Petro,Olehovych,+380966625180,2REUWXLKQF,0
Shevchenko,Olena,Dmytrivna,+380504230079,FDYHW0XP2J,0
Lysenko,Vasyl,Ivanovych,+380675163223,6T01IFF9BH,0
Tkachenko,Oksana,Dmytrivna,+380680797254,WLD18S5XIE,0
Hrynevych,Volodymyr,Yevhenovych,+380991112233,R7CPUZUH6M,0
Ivanova,Mariia,Olehivna,+380918915336,Q1A04JFGAH,0
Borisenko,Yulia,Sergiyivna,+380671342178,F7925XX1DM,0
Zaharchenko,Igor,Igorevich,+380561112233,667MQLT2A9,0
Pavliuk,Nina,Yanivna,+380007263735,6F01L4Q57H,0
Miroshnichenko,Anastasiia,Tarasivna,+380455054926,QGV3S10IS9,0
Sereda,Dmytro,Anatoliyovych,+380309204129,VXQ9CD0AE1,0
Bondarenko,Olena,Volodymyrivna,+380490872348,E8Z9TS5O2D,0
Tkachenko,Anna,Sergiyivna,+380303495352,355XJYW70R,0
Tarashchuk,Marina,Yevheniyivna,+380283001075,GBW0GMVUD6,0
Boiko,Dmytro,Pavlovych,+380352449110,U3EU491OCT,0
Kovalenko,Kateryna,Yosypivna,+380923931026,JA05CA2JJZ,0
Ivachenko,Denis,Mikolayovich,+380133451501,1JLNREGYNG,0
Kravchenko,Lubov,Fedorivna,+380771527702,WVGKTBHGR8,0
