drivers_license_number,last_name,first_name,middle_name,obtaining_date,expiration_date
DEO607623,Hrytsenko,Nataliia,Pavlivna,2023-10-12,2053-10-12
GHC629684,Pavlova,Anna,Yaroslavivna,2023-10-15,2033-10-15
IEC746207,Petrova,Olena,Mykhailivna,2023-10-16,2025-10-16
KOX781795,Lysenko,Vasyl,Ivanovych,2023-11-05,2053-11-05
OCV821326,Sydorenko,Vadym,Ivanovych,2023-11-05,2053-11-05
TDD337514,Kovalenko,Viktor,Viktorovych,2023-11-25,2053-11-25
VAN404609,Shevchenko,Olena,Dmytrivna,2023-12-30,2053-12-30
WPT356695,Sydorenko,Ivan,Pavlovych,2023-12-30,2053-12-30
WYT949478,Ivanchuk,Kateryna,Mykolaivna,2024-01-03,2026-01-03
YBT046268,Zakharova,Svitlana,Yaroslavivna,2024-01-03,2054-01-03
MLQ650656,Ivanova,Nataliia,Olehivna,2023-07-14,2053-07-14
YUD505187,Morozova,Olga,Ivanivna,2023-10-16,2025-10-16
YPY243387,Koval,Oleksii,Anatoliiovych,2023-10-11,2053-10-11
GGQ027807,Romanchuk,Katerina,Olehivna,2023-11-02,2053-11-02
SPE103618,Pavlov,Andriy,Oleksandrovych,2023-10-12,2033-10-12
CSY833559,Hrynevych,Volodymyr,Yevhenovych,2023-10-23,2025-10-23
WZT497204,Pavliuk,Nina,Yanivna,2023-10-23,2053-10-23
UQY043227,Miroshnichenko,Anastasiia,Tarasivna,2023-10-26,2053-10-26
JLT842865,Bondarenko,Olena,Volodymyrivna,2023-10-14,2053-10-14
UBL640882,Tkachenko,Anna,Sergiyivna,2023-10-16,2053-10-16
QIS616181,Tarashchuk,Marina,Yevheniyivna,2023-10-23,2053-10-23
KRK967838,Ivachenko,Denis,Mikolayovich,2024-01-02,2054-01-02
CAU185664,Kravchenko,Lubov,Fedorivna,2024-01-02,2026-01-02
VMV596859,Boiko,Dmytro,Pavlovych,2024-01-01,2034-01-01
HRE662993,Kovalenko,Kateryna,Yosypivna,2024-01-02,2054-01-02
