last_name,first_name,middle_name,phone_number,inspector_id
Kravchuk,Kateryna,Dmytrivna,+380671234567,AB12
Shevchenko,Oleksandr,Volodymyrovych,+380681112233,34CD
Hryhorenko,Lidiia,Yaroslavivna,+380991234567,EF56
Zakharchenko,Ostap,Viacheslavovich,+380998611095,GH78
Petrenko,Maria,Viktorivna,+380633682611,IJ90
Kozak,Anatolii,Oleksiyovych,+380921112233,KL12
Lysenko,Nataliia,Pavlivna,+380927321976,MN34
Sydorenko,Vadym,Ivanovych,+380926947180,OP56
Romanchuk,Volodymyr,Volodymyrovych,+380611112233,QR78
Hrynevych,Pavlo,Pavlovich,+380941234567,ST90
Ivanov,Ivan,Ivanovich,+380561234567,ABC1
Zaharchenko,Volodymyr,Mykolayovich,+380661112233,EFGH
Petrenko,Natalia,Vitaliyivna,+380731234567,IJKL
Romanchuk,Oksana,Dmytrivna,+380961234567,MNOP
Hrynevych,Valentyn,Yevhenovych,+380663705997,QRST
Kravchuk,Anna,Oleksandrivna,+380441234567,UVWX
Shevchenko,Taras,Hryhorovich,+380501112233,YZ12
Hryhorenko,Anna,Dmytrivna,+380631234567,3456
Zakharchenko,Serhii,Vitaliiovych,+380731112233,7890
Petrenko,Iryna,Mykolaivna,+380951234567,ABCD
