category_of_transport,drivers_license_number,type_of_gearbox
B,DEO607623,AT
B,MLQ650656,AT
B,UBL640882,MT
B,GHC629684,AT
A,IEC746207,MT
T,KOX781795,AT
C,OCV821326,MT
A1,TDD337514,MT
B,VAN404609,AT
B,WPT356695,MT
B,WYT949478,MT
A,YBT046268,MT
B,IEC746207,AT
A,YUD505187,AT
B1,YUD505187,MT
C1,YPY243387,MT
B,YPY243387,MT
C1,GGQ027807,MT
A1,SPE103618,MT
A,SPE103618,MT
B1,SPE103618,MT
B,SPE103618,AT
B,CSY833559,AT
B1,WZT497204,MT
D1,WZT497204,MT
B,UQY043227,MT
B,JLT842865,MT
B,QIS616181,MT
B,KRK967838,MT
C1,CAU185664,MT
B,VMV596859,MT
A1,HRE662993,MT
