last_name,first_name,middle_name,phone_number,inspector_id
Kovalenko,Andriy,Ivanovych,+380963229935,QW29
Hrytsenko,Olena,Mykhailivna,+380675233153,J7K1
Morozov,Serhiy,Petrovych,+380507880730,P5R2
Shevchenko,Kateryna,Oleksandrivna,+380981496572,6VZX
Lysenko,Mykola,Dmytrovych,+380631998321,LK91
Tkachenko,Iryna,Yuriivna,+380963865449,8P3Y
Ivanov,Vadim,Oleksiyovych,+380501234567,AB12
Zaharchenko,Dmitriy,Igorevich,+380509376559,34CD
Petrenko,Lilia,Sergiyivna,+380630340402,EF56
Romanchuk,Olena,Pavlivna,+380980454768,GH78
Hrynevych,Volodymyr,Pavlovich,+380960704741,IJ90
Kravchuk,Marina,Igorivna,+380972450381,KL12
Shevchenko,Dmytro,Yuriyovich,+380954962707,MN34
Hryhorenko,Maria,Yuriivna,+380973986092,OP56
Zakharchenko,Vadim,Ostapovich,+380963551664,QR78
Petrenko,Iryna,Mykolaivna,+380921218565,ST90
Sydorenko,Pavlo,Ivanovych,+380686466885,9Z01
Romanchuk,Oleksandra,Sergiyivna,+380934939557,4567
Berezin,Yuriy,Anatoliyovych,+3806897627967,3V92
Hrynevych,Nazar,Sergiyovych,+380508998794,LK92
